,Positioning,Quad,Single_1,4G bands,Talk time,Video,Charging,Video_1,_1,Dual,WLAN,GPRS,3G bands,CPU,OS,USB,Audio quality,2G bands,Battery (old),Announced,Performance,Internal,Chipset,GPU,Status,3.5mm jack,Price,Triple,Music play,5G bands,Features_1,Build,NFC,_3,EDGE,_2,Model Name,SIM,Brand,Display,Type,Camera,Technology,Size,Model Image,Weight,Infrared port,Colors,Loudspeaker_1,Resolution,Protection,Speed,Sensors,Models,Radio,Bluetooth,Features,Dimensions,Card slot,Loudspeaker,Type_1,Single,Stand-by
,"GPS, GLONASS, BDS",,"5 MP, f/2.0",LTE,,"4K@30fps, 1080p@30fps",24W wired,1080p@30fps,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Yes,HSDPA,"Deca-core (2x2.3GHz Cortex-A72, 4x1.9GHz Cortex-A53, 4x1.4GHz Cortex-A53)","Android 6.0 (Marshmallow), Flyme 7.3",USB Type-C,Noise -94.2dB / Crosstalk -89.3dB,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Endurance rating 68h,"2016, July. Released 2016, July",Basemark X: 12621,"32GB 3GB RAM, 32GB 4GB RAM",Mediatek MT6797 Helio X20 (20 nm),Mali-T880 MP4,Discontinued,Yes,About 300 EUR,,,,,,No,,Yes,,Meizu MX6,Nano-SIM + Nano-SIM,Meizu,"Contrast ratio: 1344:1 (nominal), 2.751 (sunlight)",TDDI,Photo/Video,GSM / HSPA / LTE,"5.5 inches, 82.6 cm2(~71.5% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-mx6.jpg,155 g (5.47 oz),,"Gray, Silver, Champagne Gold, Rose Gold",Voice 65dB / Noise 71dB / Ring 72dB,"1080 x 1920 pixels, 16:9 ratio (~403 ppi density)",,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","MX6, MZ-MX6",No,"4.1, A2DP, LE","Dual-LED dual-tone flash, HDR, panorama",153.6 x 75.2 x 7.3 mm (6.05 x 2.96 x 0.29 in),No,Yes,"Li-Ion 3060 mAh, non-removable","12 MP, f/2.0, 1/2.9"", 1.25µm, PDAF",
eMMC 5.1,"GPS, GLONASS",,"5 MP, f/2.0",LTE,,1080p@30fps,,,,,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",,HSDPA 900 / 1900 / 2100,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"Android 5.1 (Lollipop), Flyme 5.1",microUSB 2.0,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"2016, June. Released 2016, June",,"16GB 2GB RAM, 32GB 3GB RAM",Mediatek MT6750 (28 nm),Mali-T860MP2,Discontinued,Yes,About 120 EUR,,,,,,No,,,,Meizu M3s,Nano-SIM + Nano-SIM,Meizu,,IPS LCD,,GSM / HSPA / LTE,"5.0 inches, 68.9 cm2(~69.5% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-m3s.jpg,138 g (4.87 oz),,"Silver, Gray, Pink, Gold",,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"HSPA, LTE","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","M3s, MZ-M3s",No,"4.0, A2DP, LE",Dual-LED dual-tone flash,141.9 x 69.9 x 8.3 mm (5.59 x 2.75 x 0.33 in),microSDXC (uses shared SIM slot),Yes,"Li-Ion 3020 mAh, non-removable","13 MP, f/2.2, PDAF",
eMMC 5.1,"GPS, GLONASS",,"5 MP, f/2.0",LTE,,1080p@30fps,,,,,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",,HSDPA 900 / 1900 / 2100,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"Android 5.1 (Lollipop), Flyme 5.1",microUSB 2.0,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"2016, April. Released 2016, May",,"16GB 2GB RAM, 32GB 3GB RAM",Mediatek MT6750 (28 nm),Mali-T860MP2,Discontinued,Yes,About 130 EUR,,,,,,No,,,,Meizu M3,Nano-SIM + Nano-SIM,Meizu,,IPS LCD,,GSM / HSPA / LTE,"5.0 inches, 68.9 cm2(~70.1% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-m3.jpg,132 g (4.66 oz),,"Gray, White, Blue, Pink, Gold",,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"HSPA, LTE","Accelerometer, gyro, proximity, compass",,No,"4.0, A2DP, LE",Dual-LED dual-tone flash,141.5 x 69.5 x 8.3 mm (5.57 x 2.74 x 0.33 in),microSDXC (uses shared SIM slot),Yes,"Li-Ion 2870 mAh, non-removable","13 MP, f/2.2, PDAF",
CDMA2000 1xEV-DO & TD-SCDMA,"GPS, GLONASS, BDS",,"5 MP, f/2.0, 1/4.0"", 1.4µm","1, 3, 7, 38, 39, 40, 41",,"4K@30fps, 720p@100fps","24W wired, 26% in 10 min, 100% in 60 min",1080p@30fps,3D Touch display,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1900 / 2100,"Deca-core (2x2.5 GHz Cortex-A72, 4x2 GHz Cortex-A53, 4x1.4 GHz Cortex-A53)","Android 6.0 (Marshmallow), Flyme 8",USB Type-C 3.1,Noise -93.5dB / Crosstalk -92.3dB,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Endurance rating 57h,"2016, April. Released 2016, May",Basemark OS II 2.0: 1919Basemark X: 15209,"32GB 4GB RAM, 64GB 4GB RAM",Mediatek MT6797T Helio X25 (20 nm),Mali-T880 MP4,Discontinued,Yes,About 410 EUR,,,,,,Yes,,,32-bit/192kHz audio,Meizu Pro 6,Nano-SIM + Nano-SIM,Meizu,"Contrast ratio: 40000:1 (nominal), 3.659 (sunlight)",Super AMOLED,Photo/Video,GSM / HSPA / EVDO / LTE,"5.2 inches, 74.9 cm2(~71.6% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-pro-6.jpg,160 g (5.64 oz),,"Gray, Gold, Silver, Flames Red, Rose Gold",Voice 64dB / Noise 71dB / Ring 89dB,"1080 x 1920 pixels, 16:9 ratio (~423 ppi density)",Corning Gorilla Glass 4,"HSPA, LTE (2CA) Cat6 300/50 Mbps","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer",PRO 6,No,"4.1, A2DP, LE","Laser AF, Ten-LED dual-tone flash, HDR, panorama",147.7 x 70.8 x 7.3 mm (5.81 x 2.79 x 0.29 in),No,Yes,"Li-Ion 2560 mAh, non-removable","21 MP, f/2.2, 31mm (standard), 1/2.4"", PDAF",
TD-SCDMA,"GPS, GLONASS",,"5 MP, f/2.0","1, 3, 7, 38, 39, 40, 41",,1080p@30fps,,1080p@30fps,eMMC 5.1,,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot",,HSDPA 850 / 900 / 1900 / 2100,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"Android 5.1 (Lollipop), Flyme UI","microUSB 2.0, OTG",Noise -91.9dB / Crosstalk -91.3dB,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Endurance rating 93h,"2016, April. Released 2016, April",Basemark OS II 2.0: 852Basemark X: 4567,"16GB 2GB RAM, 32GB 3GB RAM",Mediatek MT6755 Helio P10 (28 nm),Mali-T860MP2,Discontinued,Yes,About 180 EUR,,,,,,No,,,,Meizu M3 Note,Nano-SIM + Nano-SIM,Meizu,"Contrast ratio: 816:1 (nominal), 1.923 (sunlight)",IPS LCD,Photo/Video,GSM / HSPA / LTE,"5.5 inches, 82.6 cm2(~71.2% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-m3-note.jpg,163 g (5.75 oz),,"Gray, White, Gold",Voice 66dB / Noise 64dB / Ring 71dB,"1080 x 1920 pixels, 16:9 ratio (~403 ppi density)",Dinorex T2X-1 scratch/shock resistant glass,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","m3 note, MZ-m3 note",No,"4.0, A2DP, LE","Dual-LED dual-tone flash, HDR, panorama",153.6 x 75.5 x 8.2 mm (6.05 x 2.97 x 0.32 in),microSDXC (uses shared SIM slot),Yes,"Li-Ion 4100 mAh, non-removable","13 MP, f/2.2, PDAF",
TD-SCDMA,"GPS, GLONASS, BDS",,"5 MP, f/2.0","1, 3, 38, 39, 40, 41",,1080p@30fps,,1080p@30fps,eMMC 5.0,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",,HSDPA 900 / 1900 / 2100,Octa-core 2.0 GHz Cortex-A53,"Android, 5.1.1 (Lollipop), Flyme 5.1","microUSB 2.0, OTG",Noise -93.6dB / Crosstalk -93.9dB,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Endurance rating 61h,"2015, October. Released 2015, October",Basemark OS II 2.0: 1039Basemark X: 8526,"16GB 2GB RAM, 32GB 2GB RAM",Mediatek MT6795 Helio X10 (28 nm),PowerVR G6200,Discontinued,Yes,About 170 EUR,,,,,,No,,,,Meizu M1 Metal,Nano-SIM + Nano-SIM,Meizu,"Contrast ratio: 780 (nominal),  2.675 (sunlight)",IPS LCD,Photo/Video,GSM / HSPA / LTE,"5.5 inches, 82.6 cm2(~72.8% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-metal1.jpg,162g (5.71 oz),,"White, Gold, Gray, Blue, Pink",Voice 68dB / Noise 66dB / Ring 73dB,"1080 x 1920 pixels, 16:9 ratio (~403 ppi density)",Dinorex T2X-1 scratch/shock resistant glass,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",,No,"4.1, A2DP, LE","Dual-LED dual-tone flash, HDR, panorama",150.7 x 75.3 x 8.2 mm (5.93 x 2.96 x 0.32 in),microSDXC (uses shared SIM slot),Yes,"Li-Ion 3140 mAh, non-removable","13 MP, f/2.2, AF",
TD-SCDMA - M576 model,"GPS, GLONASS, BDS",,"5 MP, f/2.0, 27mm (wide)","1, 3, 7, 38, 39, 40, 41 - M576 model",,"4K@30fps, 1080p@30fps","24W wired, 65% in 30 min",1080p@30fps,eMMC 5.1,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",,HSDPA 850 / 900 / 1900 / 2100 - M576 model,Octa-core (4x2.1 GHz Cortex-A57 & 4x1.5 GHz Cortex-A53),"Android 5.1 (Lollipop), Flyme 5",USB Type-C,Noise -93.9dB / Crosstalk -95.7dB,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Endurance rating 95h,"2015, September. Released 2015, October",Basemark OS II 2.0: 1837Basemark X: 20038,"32GB 3GB RAM, 64GB 4GB RAM",Exynos 7420 Octa (14 nm),Mali-T760MP8,Discontinued,Yes,About 390 EUR,,Up to 48 h,,,,Yes,,,32-bit/192kHz audio,Meizu PRO 5,Nano-SIM + Nano-SIM,Meizu,"Contrast ratio: Infinite (nominal), 3.781 (sunlight)",AMOLED,Photo/Video,GSM / HSPA / LTE,"5.7 inches, 89.6 cm2(~73.3% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-pro-5.jpg,168 g (5.93 oz),,"Gray, Gold, Silver, Black/Silver",Voice 67dB / Noise 66dB / Ring 68dB,"1080 x 1920 pixels, 16:9 ratio (~386 ppi density)",Corning Gorilla Glass 3,"HSPA, LTE (2CA) Cat6 300/50 Mbps","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",,No,"4.1, A2DP, LE","Laser AF, Dual-LED dual-tone flash, HDR, panorama",156.7 x 78 x 7.5 mm (6.17 x 3.07 x 0.30 in),microSDXC (uses shared SIM slot),Yes,"Li-Ion 3050 mAh, non-removable","21 MP, f/2.2, 31mm (standard), 1/2.4"", 1.12µm, PDAF",
,"GPS, GLONASS",,"5 MP, f/2.0",LTE,Up to 23 h,1080p@30fps,,,,,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",,HSDPA 900 / 1900 / 2100,Quad-core 1.3 GHz Cortex-A53,"Android 5.1 (Lollipop), Flyme 4.5",microUSB 2.0,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"2015, July. Released 2015, July",,16GB 2GB RAM,Mediatek MT6735 (28 nm),Mali-T720MP2,Discontinued,Yes,About 130 EUR,,Up to 45 h,,,,No,,,,Meizu M2,Nano-SIM + Nano-SIM,Meizu,,IPS LCD,,GSM / HSPA / LTE,"5.0 inches, 68.9 cm2(~71.4% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-m2.jpg,131 g (4.62 oz),,"Gray, White, Blue, Pink",,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Asahi Dragontrail Glass,"HSPA, LTE","Accelerometer, proximity, compass",m2,No,"4.0, A2DP, LE",LED flash,140.1 x 68.9 x 8.7 mm (5.52 x 2.71 x 0.34 in),microSDXC (uses shared SIM slot),Yes,"Li-Ion 2500 mAh, non-removable","13 MP, f/2.2, AF",Up to 680 h
eMMC 5.0,"GPS, GLONASS, BDS",,"5 MP, f/2.2",LTE,,"4K@30fps, 1080p@30fps, 720p@100fps","24W wired, 60% in 40 min",1080p@30fps,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",Yes,HSDPA,Octa-core 2.2 GHz Cortex-A53,"Android 5.0.1 (Lollipop), Flyme 4.5","microUSB 2.0, OTG",Noise -94.0dB / Crosstalk -95.0dB,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Endurance rating 55h,"2015, June. Released 2015, July",Basemark OS II 2.0: 1252Basemark X: 10403,"16GB 3GB RAM, 32GB 3GB RAM, 64GB 3GB RAM",Mediatek MT6795 Helio X10 (28 nm),PowerVR G6200,Discontinued,Yes,About 210 EUR,,,,,,No,,Yes,,Meizu MX5,Nano-SIM + Nano-SIM,Meizu,"Contrast ratio: Infinite (nominal), 3.416 (sunlight)",AMOLED,Photo/Video,GSM / HSPA / LTE,"5.5 inches, 83.4 cm2(~74.5% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-mx5.jpg,149 g (5.26 oz),,"Gray, Gold, Silver, Black/Silver",Voice 75dB / Noise 73dB / Ring 79dB,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Corning Gorilla Glass 3,"HSPA, LTE Cat4 150/50 Mbps","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",MX5,No,"4.1, A2DP, LE","Laser AF, Dual-LED dual-tone flash, HDR, panorama",149.9 x 74.7 x 7.6 mm (5.90 x 2.94 x 0.30 in),No,Yes,"Li-Ion 3150 mAh, non-removable","20.7 MP, f/2.2, 1/2.3"", 1.2µm",
TD-SCDMA,"GPS, GLONASS",,"5 MP, f/2.0, 1/5.0"", 1.12µm","1, 3, 7, 38, 39, 40, 41",,"1080p, 1080p@30fps",,1080p@30fps,,,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot",,HSDPA 850 / 900 / 1900 / 2100,Octa-core 1.3 GHz Cortex-A53,"Android 5.0 (Lollipop), Flyme 4.5","microUSB 2.0, OTG",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Endurance rating 69h,"2015, June. Released 2015, June",,"16GB 2GB RAM, 32GB 2GB RAM",Mediatek MT6753 (28 nm),Mali-T720MP3,Discontinued,Yes,About 200 EUR,,,,,,No,,,,Meizu M2 Note,Nano-SIM + Nano-SIM,Meizu,,IGZO IPS LCD,Photo/Video,GSM / HSPA / LTE,"5.5 inches, 82.6 cm2(~72.8% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-m1-note2.jpg,149 g (5.26 oz),,"Gray, White, Blue, Pink",Voice 65dB / Noise 62dB / Ring 75dB,"1080 x 1920 pixels, 16:9 ratio (~403 ppi density)",Asahi Dragontrail Glass or Dinorex T2X-1 scratch/shock resistant glass,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Accelerometer, gyro, proximity, compass","m2 note, MZ-m2 note",No,"4.0, A2DP, LE","Dual-LED dual-tone flash, HDR, panorama",150.9 x 75.2 x 8.7 mm (5.94 x 2.96 x 0.34 in),microSDXC (uses shared SIM slot),Yes,"Li-Ion 3100 mAh, non-removable","13 MP, f/2.2, 1/3.0"", AF",
,"GPS, GLONASS",,"5 MP, f/2.0","1, 3, 38, 41",,1080p@30fps,,,,,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot",,HSDPA 900 / 1900 / 2100,Quad-core 1.5 GHz Cortex-A53,Android 4.4.4 (KitKat),"microUSB 2.0, OTG",,GSM 900 / 1800 / 1900,,"2015, January. Released 2015, April",,8GB 1GB RAM,Mediatek MT6732 (28 nm),Mali-T760MP2,Discontinued,Yes,About 100 EUR,,,,,,No,,,,Meizu M1,Micro-SIM,Meizu,,TFT,,GSM / HSPA / LTE,"5.0 inches, 70.7 cm2(~69.9% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-m1-note-mini.jpg,128 g (4.52 oz),,"White, BLue, Yellow, Green, Pink, Mint",,"768 x 1280 pixels, 5:3 ratio (~300 ppi density)",Corning Gorilla Glass 3,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Accelerometer, gyro, proximity, compass",,No,"4.0, A2DP, LE","LED flash, HDR, panorama",140.2 x 72.1 x 8.9 mm (5.52 x 2.84 x 0.35 in),microSDXC (dedicated slot),Yes,"Li-Ion 2500 mAh, non-removable","13 MP, f/2.2, AF",
,"GPS, GLONASS",,"5 MP, f/2.0","1, 3, 38, 41",Up to 40 h,1080p@30fps,,,,,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot",,HSDPA 900 / 1900 / 2100,Octa-core 1.7 GHz Cortex-A53,"Android 4.4.4 (KitKat), Flyme 4","microUSB 2.0, OTG",Noise -89.6dB / Crosstalk -86.0dB,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Endurance rating 66h,"2014, December. Released 2015, January",Basemark OS II 2.0: 880Basemark X: 4617,"16GB 2GB RAM, 32GB 2GB RAM",Mediatek MT6752 (28 nm),Mali-T760,Discontinued,Yes,About 130 EUR,,Up to 60 h,,,,No,,,,Meizu M1 Note,"Dual SIM (Micro-SIM, dual stand-by)",Meizu,"Contrast ratio: 867:1 (nominal), 2.3624 (sunlight)",IGZO IPS LCD,Photo/Video,GSM / HSPA / LTE,"5.5 inches, 82.6 cm2(~72.9% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-m1-note-1.jpg,145 g (5.11 oz),,"White, Blue, Yellow, Green, Pink",Voice 67dB / Noise 66dB / Ring 75dB,"1080 x 1920 pixels, 16:9 ratio (~403 ppi density)",Corning Gorilla Glass 3,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Accelerometer, gyro, proximity, compass",,No,"4.0, A2DP, LE","Dual-LED dual-tone flash, HDR, panorama",150.7 x 75.2 x 8.9 mm (5.93 x 2.96 x 0.35 in),No,Yes,"Li-Ion 3140 mAh, non-removable","13 MP, f/2.2, 1/3.0"", AF",
TD-SCDMA - China Mobile,"GPS, GLONASS, BDS, QZSS",,"5 MP, f/2.0","1, 3, 7",,"4K@30fps, 1080p@30fps",,1080p@30fps,"38, 39, 40, 41 - China Mobile",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",,HSDPA 850 / 900 / 1900 / 2100,Octa-core (4x2.0 GHz Cortex-A15 & 4x1.5 GHz Cortex-A7),"Android 4.4.4 (KitKat), Flyme 4","microUSB 2.0, OTG",Noise -92.4dB / Crosstalk -93.5dB,GSM 850 / 900 / 1800 / 1900,Endurance rating 67h,"2014, October. Released 2014, December",Basemark OS II 2.0: 863Basemark X: 9111,"16GB 3GB RAM, 32GB 3GB RAM, 64GB 3GB RAM",Exynos 5430 Octa (20 nm),Mali-T628MP6,Discontinued,Yes,About 400 EUR,,,,,,Yes,,,eMMC 5.0,Meizu MX4 Pro,Micro-SIM,Meizu,"Contrast ratio: 1127 (nominal), 2.765 (sunlight)",IPS LCD,Photo/Video,GSM / HSPA / LTE,"5.5 inches, 85.2 cm2(~73.7% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-mx4-pro1.jpg,158 g (5.57 oz),,"Gray, Gold, White",Voice 76dB / Noise 73dB / Ring 82dB,"1536 x 2560 pixels, 5:3 ratio (~546 ppi density)",Corning Gorilla Glass 3,"HSPA, LTE Cat4 150/50 Mbps","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",MX4 Pro,No,"4.0, A2DP, LE","Dual-LED dual-tone flash, HDR, panorama",150.1 x 77 x 9 mm (5.91 x 3.03 x 0.35 in),No,Yes,"Li-Ion 3350 mAh, non-removable","20.7 MP, f/2.2, 1/2.3"", AF",
TD-SCDMA - China Mobile,"GPS, GLONASS, BDS, QZSS",,2 MP,"1, 3, 7",,"4K@30fps, 1080p@30fps",,1080p@30fps,"38, 39, 40, 41 - China Mobile",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1900 / 2100,Octa-core (4x2.2 GHz Cortex-A17 & 4x1.7 GHz Cortex-A7),"Android 4.4.4 (KitKat), Flyme 4","microUSB 2.0 (MHL TV-out), OTG",Noise -93.6dB / Crosstalk -93.7dB,GSM 850 / 900 / 1800 / 1900,Endurance rating 89h,"2014, September. Released 2014, September",Basemark OS II 2.0: 666Basemark X: 8324,"16GB 2GB RAM, 32GB 2GB RAM, 64GB 2GB RAM",Mediatek MT6595,PowerVR G6200,Discontinued,Yes,About 340 EUR,,,,,,No,,,,Meizu MX4,Micro-SIM,Meizu,"Contrast ratio: 947 (nominal), 2.336 (sunlight)",IPS LCD,Photo/Video,GSM / HSPA / LTE,"5.36 inches, 81.8 cm2(~75.5% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-mx4-new.jpg,147 g (5.19 oz),,"Gray, Gold, White",Voice 81dB / Noise 75dB / Ring 83dB,"1152 x 1920 pixels, 5:3 ratio (~418 ppi density)",Corning Gorilla Glass 3,"HSPA, LTE Cat4 150/50 Mbps","Accelerometer, gyro, proximity, compass",,No,"4.0, A2DP","Dual-LED dual-tone flash, HDR, panorama",144 x 75.2 x 8.9 mm (5.67 x 2.96 x 0.35 in),No,Yes,"Li-Ion 3100 mAh, non-removable","20.7 MP, f/2.2, 1/2.3"", AF",
eMMC 5.0,"GPS, GLONASS",,2 MP,,Up to 12 h (2G) / Up to 14 h (3G),1080p@30fps,,1080p@30fps,,,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct",,HSDPA 850 / 2100,Octa-core (4x1.6 GHz Cortex-A15 & 4x1.2 GHz Cortex-A7),"Android 4.2 (Jelly Bean), Flyme 3","microUSB 2.0 (MHL TV-out), OTG",Noise -93.9dB / Crosstalk -93.8dB,GSM 850 / 900 / 1800 / 1900,Endurance rating 36h,"2013, September. Released 2013, October",,"16GB 2GB RAM, 32GB 2GB RAM, 64GB 2GB RAM, 128GB 2GB RAM",Exynos 5410 Octa (28 nm),PowerVR SGX544MP3,Discontinued,Yes,About 370 EUR,,Up to 40 h,,,,Yes,,,,Meizu MX3,Micro-SIM,Meizu,Contrast ratio: 995:1 (nominal) / 1.754:1 (sunlight),IPS LCD,Photo/Video,GSM / HSPA,"5.1 inches, 74.0 cm2(~74.1% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-mx3.jpg,143 g (5.04 oz),,"Black (front panel), several color options (back panel); white",Voice 67dB / Noise 66dB / Ring 77dB,"1080 x 1800 pixels, 5:3 ratio (~412 ppi density)",Corning Gorilla Glass,HSPA,"Accelerometer, gyro, proximity, compass",,No,"4.0, A2DP",LED flash,139 x 71.9 x 9.1 mm (5.47 x 2.83 x 0.36 in),No,Yes,"Li-Po 2400 mAh, non-removable","8 MP, f/2.0, 1/3.2"", 1.4µm, AF",Up to 429 h (2G) / Up to 393 h (3G)
,"GPS, GLONASS",,1.2 MP,,Up to 13 h (2G) / Up to 10 h (3G),1080p@30fps,,720p@30fps,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,HSDPA 2100,Quad-core 1.6 GHz Cortex-A9,Android 4.1.1 (Jelly Bean),"microUSB 2.0 (MHL TV-out), OTG",,GSM 900 / 1800,,"2012, November. Released 2012, December",,"16GB 2GB RAM, 32GB 2GB RAM, 64GB 2GB RAM",Exynos 4412 Quad (32 nm),Mali-400MP4,Discontinued,Yes,About 310 EUR,,Up to 46 h,,,,No,,,,Meizu MX2,Micro-SIM,Meizu,,IPS LCD,,GSM / HSPA,"4.4 inches, 56.1 cm2(~69.3% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-mx2.jpg,142 g (5.01 oz),,Black front & white back,,"800 x 1280 pixels, 16:10 ratio (~343 ppi density)",Corning Gorilla Glass,HSPA 21.1/5.76 Mbps,"Accelerometer, gyro, proximity, compass",,No,"4.0, A2DP",LED flash,124.9 x 64.9 x 10.2 mm (4.92 x 2.56 x 0.40 in),No,Yes,"Li-Ion 1800 mAh, non-removable","8 MP, f/2.4, AF",Up to 380 h (2G) / Up to 330 h (3G)
MP3/WAV/eAAC+/FLAC playerMP4/H.264 playerOrganizerDocument viewer/editorPhoto viewerVoice memo/dialPredictive text input,"GPS, A-GPS",,VGA,,,1080p@30fps,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,HSDPA 850 / 900 / 1700 / 1900 / 2100,Quad-core 1.4 GHz Cortex-A9,Android 4.0 (Ice Cream Sandwich),"microUSB 2.0 (MHL TV-out), OTG",Noise -90.4dB / Crosstalk -90.3dB,GSM 850 / 900 / 1800 / 1900,Endurance rating 38h,"2012, April. Released 2012, August",,"32GB 1GB RAM, 64GB 1GB RAM",Exynos,Mali-400,Discontinued,Yes,About 310 EUR,,,,,,,,,,Meizu MX 4-core,Micro-SIM,Meizu,Contrast ratio: 846 (nominal) / 1.462:1 (sunlight),ASV,Photo/Video,GSM / HSPA,"4.0 inches, 47.6 cm2(~62.0% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-mx-quad-core.jpg,139 g (4.90 oz),,"Black (front)/ white, green, blue, pink, violet (back)",Voice 68dB / Noise 65dB / Ring 75dB,"640 x 960 pixels, 3:2 ratio (~288 ppi density)",,HSPA 21.1/5.76 Mbps,"Accelerometer, gyro, proximity, compass",,No,"2.1, A2DP, EDR",LED flash,121.3 x 63.3 x 10.3 mm (4.78 x 2.49 x 0.41 in),No,Yes,Non-removable Li-Po 1700 mAh battery,"8 MP, f/2.2, AF",
