,CPU,Features,4G bands,Single_1,Stand-by,OS,Loudspeaker,Bluetooth,Games,Price,3.5mm jack,SIM,Single,Weight,Chipset,Call records,Status,WLAN,Infrared port,2G bands,Features_1,Resolution,Talk time,Card slot,Speed,NFC,Announced,Video_1,Technology,_1,Brand,Protection,GPU,Model Image,Size,Model Name,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Charging,Models,Video,Type_1,Sensors,Java
,Dual-core 1.0 GHz Cortex-A7,LED flash,,VGA,,Android 4.2 (Jelly Bean),Yes,"4.0, A2DP",,About 80 EUR,Yes,Dual SIM (dual stand-by),"5 MP, AF",-,Mediatek MT6572M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,microSDHC,HSPA 21.1/5.76 Mbps,No,"2014, May. Released 2014, May",,GSM / HSPA,,QMobile,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/qmobile-noir-a120.jpg,"4.0 inches, 45.5 cm2(~56.1% screen-to-body ratio)",QMobile Noir A120,,"Black, Blue, Pink, White","TFT, 256K colors",,,127.5 x 63.7 x 10.4 mm (5.02 x 2.51 x 0.41 in),4GB 512MB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,Yes,Li-Ion 1500 mAh battery,"Accelerometer, proximity, compass",
No,,LED flash,,,,,Yes,2.0,Downloadable,About 30 EUR,Yes,Dual SIM,2 MP,-,,Yes,Discontinued,No,,GSM 900 / 1800 - SIM 1 & SIM 2,,"240 x 320 pixels, 4:3 ratio (~154 ppi density)",,microSDHC,,No,"2014, May. Released 2014, May",,GSM,QAppsMP4/H.263 playerOrganizerVoice memo,QMobile,,,https://fdn2.gsmarena.com/vv/bigpic/qmobile-e990-sirocco-edition.jpg,"2.6 inches, 20.9 cm2(~31.0% screen-to-body ratio)",QMobile E990 Sirocco Edition,SMS,"Black, Golden","TFT, 65K colors",Yes,Yes,128 x 52.8 x 7.4 mm (5.04 x 2.08 x 0.29 in),64MB 128MB RAM,microUSB 2.0,Yes,No,FM radio,,,,320p@15fps,Li-Ion 1000 mAh battery,No,No
,Dual-core 1.0 GHz Cortex-A7,,,VGA,,Android 4.2 (Jelly Bean),Yes,"4.0, A2DP",,About 60 EUR,Yes,Dual SIM,2 MP,-,Mediatek MT6572 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,microSDHC,,No,"2014, May. Released 2014, May",,GSM,,QMobile,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/qmobile-noir-a110.jpg,"3.5 inches, 36.5 cm2(~49.9% screen-to-body ratio)",QMobile Noir A110,,"Black, Blue, Pink, White",TFT,,Class 12,117 x 62.5 x 11 mm (4.61 x 2.46 x 0.43 in),512MB 512MB RAM,microUSB 2.0,Class 12,GPS,FM radio,,,,Yes,Li-Ion 1300 mAh battery,"Accelerometer, proximity, compass",
,Quad-core 1.3 GHz Cortex-A7,"LED flash, HDR, panorama",,2 MP,Up to 260 h (2G) / Up to 260 h (3G),"Android 4.2 (Jelly Bean), upgradable to 4.4 (KitKat)",Yes,"4.0, A2DP",,About 130 EUR,Yes,Dual SIM,"8 MP, AF",167 g (5.89 oz),Mediatek MT6582 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Up to 16 h (2G) / Up to 10 h 30 min (3G),microSDHC,HSPA 21.1/5.76 Mbps,No,"2014, May. Released 2014, May",,GSM / HSPA,,QMobile,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/qmobile-noir-i9.jpg,"5.0 inches, 68.9 cm2(~63.8% screen-to-body ratio)",QMobile Noir i9,,Black,IPS LCD,,,146 x 74 x 9.3 mm (5.75 x 2.91 x 0.37 in),4GB 1GB RAM,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 900 / 1900 / 2100,,,1080p@30fps,Li-Ion 2000 mAh battery,"Accelerometer, proximity, compass",
,Quad-core 1.3 GHz Cortex-A7,LED flash,,2 MP,Up to 386 h (2G) / Up to 386 h (3G),"Android 4.2 (Jelly Bean), upgradable to 4.4 (KitKat)",Yes,"4.0, A2DP",,About 120 EUR,Yes,Dual SIM (dual stand-by),"5 MP, AF",88.2 g (3.10 oz),Mediatek MT6582 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",Up to 16 h 30 min (2G) / Up to 11 h (3G),microSDHC,HSPA 21.1/5.76 Mbps,No,"2014, May. Released 2014, May",,GSM / HSPA,,QMobile,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/qmobile-noir-i6.jpg,"4.5 inches, 55.8 cm2(~62.2% screen-to-body ratio)",QMobile Noir i6,,Black,TFT,,,135 x 66.5 x 9.1 mm (5.31 x 2.62 x 0.36 in),8GB 1GB RAM,microUSB 2.0,,A-GPS only,"FM radio, recording",HSDPA 900 / 2100,,,Yes,Li-Po 1800 mAh battery,"Accelerometer, proximity, compass",
,Dual-core 1.0 GHz Cortex-A7,LED flash,,VGA,,Android 4.2 (Jelly Bean),Yes,"4.0, A2DP",,About 80 EUR,Yes,Dual SIM,"3.15 MP, AF",-,Mediatek MT6572 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",,microSDHC,HSPA 21.1/5.76 Mbps,No,"2014, May. Released 2014, May",,GSM / HSPA,,QMobile,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/qmobile-noir-a75.jpg,"4.5 inches, 55.8 cm2(~61.7% screen-to-body ratio)",QMobile Noir A75,,Black,TFT,,,135 x 67 x 10 mm (5.31 x 2.64 x 0.39 in),4GB 512MB RAM,microUSB 2.0,,A-GPS only,FM radio,HSDPA 900 / 2100,,,Yes,Li-Ion 1500 mAh battery,"Accelerometer, proximity, compass",
,Quad-core 1.3 GHz Cortex-A7,LED flash,,VGA,,Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,About 80 EUR,Yes,Dual SIM,5 MP,-,Mediatek MT6582M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",,microSDHC,HSPA 21.1/5.76 Mbps,No,"2014, May. Released 2014, May",,GSM / HSPA,,QMobile,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/qmobile-i5i.jpg,"4.5 inches, 55.8 cm2(~62.9% screen-to-body ratio)",QMobile Noir i5i,,Black,TFT,,,133.5 x 66.5 x 9.8 mm (5.26 x 2.62 x 0.39 in),4GB 1GB RAM,microUSB 2.0,,A-GPS only,FM radio,HSDPA 900 / 2100,,,Yes,Li-Ion 1700 mAh battery,Accelerometer,
,Quad-core 1.3 GHz Cortex-A7,LED flash,,2 MP,,"Android 4.2 (Jelly Bean), upgradable to 4.4 (KitKat)",Yes,"4.0, A2DP",,About 80 EUR,Yes,Dual SIM,"5 MP, AF",-,Mediatek MT6582M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 800 pixels, 5:3 ratio (~199 ppi density)",,microSDHC,HSPA,No,"2014, May. Released 2014, May",,GSM / HSPA,,QMobile,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/qmobile-i5.jpg,"4.7 inches, 62.9 cm2(~63.5% screen-to-body ratio)",QMobile Noir i5,,Black,IPS LCD,,,138.5 x 71.5 x 9.5 mm (5.45 x 2.81 x 0.37 in),4GB 512MB RAM,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 900 / 2100,,,480p@30fps,Li-Ion 2000 mAh battery,"Accelerometer, proximity, compass",
,Quad-core 1.3 GHz Cortex-A7,LED flash,,2 MP,,"Android 4.2 (Jelly Bean), upgradable to 4.4 (KitKat)",Yes,"4.0, A2DP",,About 140 EUR,Yes,Dual SIM,"8 MP, AF",-,Mediatek MT6582 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"540 x 960 pixels, 16:9 ratio (~245 ppi density)",,microSDHC,HSPA 21.1/5.76 Mbps,No,"2014, April. Released 2014, April",,GSM / HSPA,,QMobile,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/qmobile-noir-a550.jpg,"4.5 inches, 55.8 cm2(~64.1% screen-to-body ratio)",QMobile Noir A550,,Black,IPS LCD,,,132 x 66 x 8.9 mm (5.20 x 2.60 x 0.35 in),4GB 1GB RAM,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 900 / 2100,,,Yes,Li-Ion 1700 mAh battery,"Accelerometer, proximity, compass",
,Quad-core 1.2 GHz Cortex-A7,"Dual-LED flash, HDR",,5 MP,Up to 220 h (3G),Android 4.2 (Jelly Bean),Yes,"4.0, A2DP",,About 180 EUR,Yes,Dual SIM,"12 MP, AF",220 g (7.76 oz),Mediatek MT6589 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~258 ppi density)",Up to 8 h (3G),No,HSPA 21.1/5.76 Mbps,No,"2014, January. Released 2014, January",,GSM / HSPA,,QMobile,,PowerVR SGX544,https://fdn2.gsmarena.com/vv/bigpic/qmobile-noir-v4.jpg,"5.7 inches, 89.6 cm2(~67.4% screen-to-body ratio)",QMobile Noir V4,,Black,IPS LCD,,,161 x 82.5 x 9.3 mm (6.34 x 3.25 x 0.37 in),16GB 1GB RAM,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 900 / 2100,,,1080p@30fps,Li-Ion 2600 mAh battery,"Accelerometer, proximity, compass",
,Quad-core 1.5 GHz Cortex-A7,"LED flash, panorama",,5 MP,,Android 4.2 (Jelly Bean),Yes,"4.0, A2DP",,About 200 EUR,Yes,Micro-SIM,"13 MP, AF",-,Mediatek MT6589T (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,GSM 850 / 900 / 1800 / 1900,,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",,No,HSPA 21.1/5.76 Mbps,No,"2013, October. Released 2013, October",,GSM / HSPA,,QMobile,Corning Gorilla Glass 3,PowerVR SGX544,https://fdn2.gsmarena.com/vv/bigpic/qmobile-noir-z4.jpg,"5.0 inches, 68.9 cm2(~69.4% screen-to-body ratio)",QMobile Noir Z4,,Black,IPS LCD,,,144 x 69 x 7.7 mm (5.67 x 2.72 x 0.30 in),32GB 2GB RAM,microUSB 2.0,,GPS,Stereo FM radio,HSDPA 900 / 2100,,,1080p@30fps,Li-Ion 2000 mAh battery,"Accelerometer, gyro, proximity, compass",
,Quad-core 1.5 GHz Cortex-A7,LED flash,,5 MP,,Android 4.2 (Jelly Bean),Yes,"4.0, A2DP",,About 210 EUR,Yes,Micro-SIM,"8 MP, AF",135 g (4.76 oz),Mediatek MT6589 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,GSM 850 / 900 / 1800 / 1900,,"720 x 1280 pixels, 16:9 ratio (~306 ppi density)",,No,HSPA 21.1/5.76 Mbps,No,"2013, September. Released 2013, September",,GSM / HSPA,,QMobile,Corning Gorilla Glass 2,PowerVR SGX544,https://fdn2.gsmarena.com/vv/bigpic/qmobile-noir-z3.jpg,"4.8 inches, 63.5 cm2(~67.2% screen-to-body ratio)",QMobile Noir Z3,,Black,Super AMOLED,,,137 x 69 x 6.9 mm (5.39 x 2.72 x 0.27 in),16GB 1GB RAM,microUSB 2.0,,GPS,Stereo FM radio,HSDPA 900 / 2100,,,1080p@30fps,Li-Ion 2000 mAh battery,"Accelerometer, proximity, compass",
,Dual-core 1.2 GHz Cortex-A9,LED flash,,VGA,Up to 225 h (3G),Android 4.1 (Jelly Bean),Yes,"4.0, A2DP",,About 150 EUR,Yes,Dual SIM (dual stand-by),5 MP,-,Mediatek MT6577T (40 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 900 / 1800 - SIM 1 & SIM 2,,"480 x 800 pixels, 5:3 ratio (~187 ppi density)",Up to 4 h 30 min (3G),microSDHC,HSPA 21.1/5.76 Mbps,No,"2013, July. Released 2013, July",,GSM / HSPA,,QMobile,,PowerVR SGX531,https://fdn2.gsmarena.com/vv/bigpic/qmobile-noir-a15-3d.jpg,"5.0 inches, 71.2 cm2(~62.9% screen-to-body ratio)",QMobile Noir A15 3D,,Black,3D,,,147 x 77 x 11.8 mm (5.79 x 3.03 x 0.46 in),4GB 512MB RAM,microUSB 2.0,,GPS,Stereo FM radio,HSDPA 900 / 2100,,,480p@30fps,Li-Ion 2200 mAh battery,"Accelerometer, proximity, compass",
,Quad-core 1.2 GHz Cortex-A7,LED flash,,1 MP,,Android 4.1 (Jelly Bean),Yes,"4.0, A2DP",,About 120 EUR,Yes,Dual SIM,8 MP,-,Mediatek MT6589W,,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~316 ppi density)",,microSDHC,HSPA 21.1/5.76 Mbps,No,"2013, July. Released 2013, July",,GSM / HSPA,,QMobile,,PowerVR SGX544,https://fdn2.gsmarena.com/vv/bigpic/qmobile-noir-a950.jpg,"4.65 inches, 59.6 cm2(~68.4% screen-to-body ratio)",QMobile Noir A950,,Black,Super AMOLED+,,,130 x 67 x 8.6 mm (5.12 x 2.64 x 0.34 in),4GB 1GB RAM,microUSB 2.0,,GPS,Stereo FM radio,HSDPA 900 / 2100,,,720p,Li-Ion 2100 mAh battery,"Accelerometer, proximity, compass",
,Quad-core 1.2 GHz Cortex-A7,LED flash,,VGA,,Android 4.2 (Jelly Bean),Yes,"4.0, A2DP",,About 130 EUR,Yes,Dual SIM (dual stand-by),5 MP,-,Mediatek MT6589M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",,microSDHC,HSPA 21.1/5.76 Mbps,No,"2013, July. Released 2013, July",,GSM / HSPA,,QMobile,,PowerVR SGX544,https://fdn2.gsmarena.com/vv/bigpic/qmobile-noir-a500.jpg,"4.5 inches, 55.8 cm2(~61.2% screen-to-body ratio)",QMobile Noir A500,,Black,"TFT, 256K colors",,,136 x 67 x 9.6 mm (5.35 x 2.64 x 0.38 in),4GB 512MB RAM,microUSB 2.0,,GPS,Stereo FM radio,HSDPA 900 / 2100,,,Yes,Li-Ion 1800 mAh battery,"Accelerometer, proximity, compass",
