,Single_1,OS,3.5mm jack,Loudspeaker_1,Chipset,Call records,Status,Features_1,128GB 8GB RAM,Display,Talk time,32GB 2GB RAM,64GB 6GB RAM,256GB 8GB RAM,Music play,GPRS,EDGE,Radio,Charging,4G bands,Camera,Stand-by,64GB 4GB RAM,Price,_3,Dual,Single,2G bands,Resolution,128GB 4GB RAM,Announced,Technology,_1,SAR,GPU,Battery (new),Model Image,Size,Model Name,256GB 6GB RAM,64GB 3GB RAM,Phonebook,5G bands,Positioning,128GB 6GB RAM,Type_1,Java,Features,CPU,SAR EU,_2,SIM,Triple,Infrared port,Battery (old),Card slot,Protection,Messaging,Dimensions,512GB 16GB RAM,Internal,USB,Models,512GB 12GB RAM,Loudspeaker,Bluetooth,Games,Quad,Weight,WLAN,Video,Speed,NFC,Build,_5,Brand,32GB 3GB RAM,256GB 12GB RAM,Audio quality,Colors,Type,Performance,3G bands,Video_1,_4,Sensors
,"5 MP, f/2.2","Android 14, Realme UI 5.0 for Pad",No,,Mediatek Helio G99 (6 nm),,"Available. Released 2024, September 26",Panorama,,,,,,,,,,No,15W wired,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,,About 160 EUR,,,"8 MP, f/2.0",GSM 850 / 900 / 1800 / 1900,"1200 x 1920 pixels, 16:10 ratio (~207 ppi density)",,"2024, September 13",GSM / HSPA / LTE,,,Mali-G57 MC2,,https://fdn2.gsmarena.com/vv/bigpic/realme-pad-2-lite.jpg,"10.95 inches, 347.7 cm2(~79.5% screen-to-body ratio)",Realme Pad 2 Lite,,,,,"GPS, GALILEO, GLONASS, BDS",,8300 mAh,,Panorama,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,,No,,,,Unspecified,,,258 x 169.5 x 8.3 mm (10.16 x 6.67 x 0.33 in),,"128GB 4GB RAM, 128GB 8GB RAM",USB Type-C,,,"Yes, with stereo speakers (4 speakers)","5.2, A2DP, LE",,,525 g (1.16 lb),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",1080p@30fps,"Yes, 384 kbps",No,,,Realme,,,,"Nebula Purple, Space Grey","IPS LCD, 1B colors, 90Hz, 450 nits (peak)",,HSDPA 850 / 900 / 2100,1080p@30fps,,Accelerometer
"IP65, dust and water resistant",,"Android 14, Realme UI 5.0",Yes,,Mediatek Dimensity 7300 Energy (4 nm),,"Available. Released 2024, September 16",Panorama,"₹ 17,998",,,,,,,,,No,"45W wired, 50% in 30 min","1, 3, 5, 8, 28, 40, 41",,,,"₹ 16,998",,"50 MP, f/1.8, 27mm (wide), PDAF2 MP, f/2.4, (depth)Auxiliary lens (flicker sensor)","16 MP, f/2.4, (wide)",GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,"2024, September 09",GSM / HSPA / LTE / 5G,HDR image support,,Mali-G615 MC2,,https://fdn2.gsmarena.com/vv/bigpic/realme-narzo-70-turbo.jpg,"6.67 inches, 107.4 cm2(~88.9% screen-to-body ratio)",Realme Narzo 70 Turbo,,,,"1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA","GPS, GLONASS, GALILEO, BDS, QZSS","₹ 16,998",5000 mAh,,"LED flash, HDR, panorama",Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),,UFS 3.1,Nano-SIM + Nano-SIM,,,,microSDXC (uses shared SIM slot),,,161.7 x 74.7 x 7.6 mm (6.37 x 2.94 x 0.30 in),,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 12GB RAM",USB Type-C 2.0,,,"Yes, with stereo speakers","5.4, A2DP, LE",,,185 g (6.53 oz),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","4K@30fps, 1080p@30/60/120fps, gyro-EIS","HSPA, LTE, 5G",No,,,Realme,,"₹ 20,998",,"Turbo Yellow, Turbo Green, Turbo Purple","OLED, 120Hz, HDR, 600 nits (typ), 2000 nits (peak)",,HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
"IP64, dust and splash resistantDie-cast aluminum chassis","5 MP, (wide)","Android 14, Realme UI",Yes,,Unisoc Tiger T612 (12 nm),,"Available. Released 2024, August 30",,,,,,,,,,,Unspecified,10W wired,"1, 3, 5, 8, 40",,,,About 80 EUR,,,"32 MP, f/1.8, (wide), PDAFAuxiliary lens",GSM 850 / 900 / 1800 / 1900,"720 x 1600 pixels, 20:9 ratio (~260 ppi density)",,"2024, August 30",GSM / HSPA / LTE,,,Mali-G57,,https://fdn2.gsmarena.com/vv/bigpic/realme-narzo-n61.jpg,"6.74 inches, 109.7 cm2(~85.5% screen-to-body ratio)",Realme Note 60,,,,,"GPS, GALILEO, GLONASS, BDS",,5000 mAh,,"LED flash, panorama",Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,,,,microSDXC (dedicated slot),Reinforced glass,,167.3 x 76.7 x 7.8 mm (6.59 x 3.02 x 0.31 in),,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 256GB 8GB RAM",USB Type-C 2.0,,,Yes,"5.0, A2DP, LE",,,187 g (6.60 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",1080p@30fps,"HSPA, LTE",No,"Glass front, plastic frame, plastic back",,Realme,,,,"Voyage Blue, Marble Black","IPS LCD, 90Hz, 450 nits (typ), 560 nits (HBM)",,HSDPA 900 / 2100,720p@30fps,,"Fingerprint (side-mounted), accelerometer, proximity, compass"
"IP65, dust/water resistant",,"Android 14, Realme UI 5.0",Yes,,Mediatek Dimensity 7300 Energy (4 nm),,"Available. Released 2024, September 06",,"₹ 19,998",,,,,"₹ 21,498",,,,No,"80W wired, 50% in 19 min","1, 3, 5, 8, 28, 40, 41",,,,"₹ 19,998",,,"16 MP, f/2.4, 24mm (wide), 1/3.0""",GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,"2024, August 29",GSM / HSPA / LTE / 5G,HDR image support,,Mali-G615 MC2,,https://fdn2.gsmarena.com/vv/bigpic/realme-13-plus-5g.jpg,"6.67 inches, 107.4 cm2(~88.9% screen-to-body ratio)",Realme 13+,,,,"1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA","GPS, GLONASS, GALILEO, BDS, QZSS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),,UFS 3.1,Nano-SIM + Nano-SIM,"50 MP, f/1.8, 26mm (wide), 1/1.95"", PDAF, OIS2 MP, f/2.4, (depth)Auxiliary lens (flicker sensor)",,,microSDXC (uses shared SIM slot),,,161.7 x 74.7 x 7.6 mm (6.37 x 2.94 x 0.30 in),,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",USB Type-C 2.0,RMX5002,,"Yes, with stereo speakers","5.4, A2DP, LE",,,185 g (6.53 oz),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","4K@30fps, 1080p@30/60/120fps, gyro-EIS, OIS","HSPA, LTE, 5G","Yes, 360˚ (market/region dependent)",,,Realme,,,,"Victory Gold, Speed Green, Dark Purple","AMOLED, 120Hz, HDR10+, 600 nits (typ), 2000 nits (peak)",,HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
"IP64, dust/water resistant",,"Android 14, Realme UI 5.0",Yes,,Mediatek Dimensity 6300 (6 nm),,"Available. Released 2024, September 06",,"₹ 15,558",,,,,"₹ 17,580",,,,No,"45W wired, 50% in 30 min","1, 3, 5, 8, 28, 40, 41",,,,"₹ 15,558",,"50 MP, f/1.8, 26mm (wide), PDAF, OISother unspecified camera","16 MP, f/2.5, 24mm (wide), 1/3.0""",GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~392 ppi density)",,"2024, August 29",GSM / HSPA / LTE / 5G,,,Mali-G57 MC2,,https://fdn2.gsmarena.com/vv/bigpic/realme-13-5g.jpg,"6.72 inches, 109.0 cm2(~86.5% screen-to-body ratio)",Realme 13,,,,"1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA","GPS, GLONASS, GALILEO, BDS, QZSS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,,,,microSDXC (uses shared SIM slot),,,165.6 x 76.1 x 7.8 mm (6.52 x 3.00 x 0.31 in),,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",USB Type-C 2.0,,,"Yes, with stereo speakers","5.3, A2DP, LE",,,190 g (6.70 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band","1440p@30fps, 1080p@30/60fps, gyro-EIS, OIS","HSPA, LTE, 5G",No,,,Realme,,,,"Speed Green, Dark Purple","IPS LCD, 120Hz, 580 nits (typ)",,HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass"
"IP64, dust and splash resistant","8 MP, f/2.0, 25mm (wide), 1/4.0"", 1.12µm","Android 14, Realme UI 5.0",Yes,,Mediatek Dimensity 6300 (6 nm),,"Available. Released 2024, August 19",,"₹ 11,898",,,,,,,,,No,15W wired,"1, 3, 5, 8, 28, 40, 41",,,,"₹ 10,300",,,"32 MP, f/1.9, 27mm (wide), 1/3.1"", 0.7µm, PDAFAuxiliary lens",GSM 850 / 900 / 1800 / 1900,"720 x 1604 pixels, 20:9 ratio (~264 ppi density)","₹ 10,300","2024, August 12",GSM / HSPA / LTE / 5G,UFS 2.2,,Mali-G57 MC2,,https://fdn2.gsmarena.com/vv/bigpic/realme-v60.jpg,"6.67 inches, 107.2 cm2(~85.1% screen-to-body ratio)",Realme C63 5G,,,,"1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA","GPS, GALILEO, GLONASS, QZSS, BDS","₹ 10,885",Li-Po 5000 mAh,,"LED flash, panorama",Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,,,,microSDXC (uses shared SIM slot),,,165.6 x 76.1 x 7.9 mm (6.52 x 3.00 x 0.31 in),,"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","USB Type-C 2.0, OTG",RMX3950,,Yes,"5.3, A2DP, LE",,,192 g (6.77 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, DLNA",1080p@30fps,"HSPA, LTE, 5G",No,,,Realme,,,,"Forest Green, Starry Gold","IPS LCD, 120Hz, 500 nits (typ), 625 nits (HBM)",,HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass"
"IP64, dust and splash resistant",,"Android 14, Realme UI 5.0",Yes,,Qualcomm SM6225 Snapdragon 685 (6 nm),,"Available. Released 2024, August 08",Panorama,,,,,,,,,,Unspecified,"67W wired, 50% in 19 min, 100% in 47 min","1, 3, 5, 8, 40",,,,About 170 EUR,,"50 MP, f/1.9, 26mm (wide), 1/1.95"", PDAF, OIS2 MP, f/2.4, (depth)","16 MP, f/2.5, (wide)",GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,"2024, August 07",GSM / HSPA / LTE,24-bit/192kHz Hi-Res audio,,Adreno 610,,https://fdn2.gsmarena.com/vv/bigpic/realme-12-4g.jpg,"6.67 inches, 107.4 cm2(~87.3% screen-to-body ratio)",Realme 13 4G,,,,,"GPS, GALILEO, GLONASS, QZSS, BDS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (4x2.8 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),,,Nano-SIM + Nano-SIM,,,,microSDXC (uses shared SIM slot),,,163 x 75.5 x 7.9 mm (6.42 x 2.97 x 0.31 in),,"128GB 8GB RAM, 256GB 8GB RAM",USB Type-C 2.0,,,"Yes, with dual speakers","5.0, A2DP, LE",,,187 g (6.60 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band","1080p@30fps, gyro-EIS","HSPA, LTE","Yes, 360˚",,,Realme,,,,"Skyline Blue, Pioneer Green","AMOLED, 120Hz, 600 nits (typ), 2000 nits (peak)",,HSDPA 900 / 2100,1080p@30fps,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
IP65 dust/water resistant,,"Android 14, Realme UI 5.0",No,-25.7 LUFS (Very good),Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm),,"Available. Released 2024, August 06",,,1398 nits max brightness (measured),,,,"₹ 26,899",,,,No,"80W wired, 50% in 19 min, 100% in 49 min","1, 3, 5, 8, 28, 40, 41",,,,"₹ 26,899",,,"32 MP, f/2.5, 21mm (wide), 1/2.74"", 0.8µm",GSM 850 / 900 / 1800 / 1900,"1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",,"2024, July 30",GSM / HSPA / LTE / 5G,HDR image support,,Adreno 710,Active use score 13:39h,https://fdn2.gsmarena.com/vv/bigpic/realme-13-pro-plus.jpg,"6.7 inches, 108.0 cm2(~90.6% screen-to-body ratio)",Realme 13 Pro+,,,,"1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA","GPS, GLONASS, GALILEO, BDS, QZSS",,5200 mAh,,"LED flash, HDR, panorama",Octa-core (4x2.40 GHz Cortex-A78 & 4x1.95 GHz Cortex-A55),,24-bit/192kHz Hi-Res audio,Nano-SIM + Nano-SIM,"50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS50 MP, f/2.7, 73mm, (periscope telephoto), 1/1.95"", 0.8µm, multi-directional PDAF, OIS, 3x optical zoom8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm",,,No,Corning Gorilla Glass 7i,,161.3 x 73.9 x 8.2 or 8.4 mm,,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",USB Type-C 2.0,"RMX3920, RMX3921","₹ 30,799","Yes, with stereo speakers","5.2, A2DP, LE",,,185.5 g or 190 g (6.56 oz),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","4K@30fps, 1080p@30/60/120fps, gyro-EIS","HSPA, LTE, 5G","Yes, 360˚ (market/region dependent)","Glass front (Gorilla Glass 7i), plastic frame, glass back",,Realme,,"₹ 27,970",,"Monet Gold, Emerald Green, Monet Purple","AMOLED, 1B colors, 120Hz, 600 nits (typ), 1200 nits (HBM), 2000 nits (peak)",AnTuTu: 663084 (v10)GeekBench: 2685 (v6)3DMark: 808 (Wild Life Extreme),HSDPA 850 / 900 / 2100,"4K@30fps, 1080p@30fps",,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
IP65 dust/water resistant,,"Android 14, Realme UI 5.0",No,,Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm),,"Available. Released 2024, August 06",,"₹ 20,839",,,,,"₹ 22,490",,,,No,"45W wired, 50% in 27 min","1, 3, 5, 8, 28, 40, 41",,,,"€ 359.90 / ₹ 20,839",,"50 MP, f/1.9, 26mm (wide), 1/1.95"", 0.8µm, multi-directional PDAF, OIS8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm","32 MP, f/2.5, 22mm (wide)",GSM 850 / 900 / 1800 / 1900,"1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",,"2024, July 30",GSM / HSPA / LTE / 5G,HDR image support,,Adreno 710,,https://fdn2.gsmarena.com/vv/bigpic/realme-13-pro.jpg,"6.7 inches, 108.0 cm2(~90.6% screen-to-body ratio)",Realme 13 Pro,,,,"1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA","GPS, GLONASS, GALILEO, BDS, QZSS",,5200 mAh,,"LED flash, HDR, panorama",Octa-core (4x2.40 GHz Cortex-A78 & 4x1.95 GHz Cortex-A55),,24-bit/192kHz Hi-Res audio,Nano-SIM + Nano-SIM,,,,No,Corning Gorilla Glass 7i,,161.3 x 73.9 x 8.2 or 8.4 mm,,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",USB Type-C 2.0,,€ 359.90,"Yes, with stereo speakers","5.2, A2DP, LE",,,183.5 g or 188 g (6.49 oz),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","4K@30fps, 1080p@30/60/120fps, gyro-EIS","HSPA, LTE, 5G","Yes, 360˚ (market/region dependent)",,,Realme,,,,"Monet Gold, Emerald Green, Monet Purple","AMOLED, 1B colors, 120Hz, 600 nits (typ), 1200 nits (HBM), 2000 nits (peak)",,HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
IP68 dust/water resistant (up to 1.5m for 30 min)Waterproof (5ATM)Compatible with standard 22mm straps,,,No,,,No,"Available. Released 2024, August 06",,,,,,,,,No,No,No,Wired,N/A,,,,About 60 EUR,,,,N/A,466 x 466 pixels (~326 ppi density),,"2024, July 30",No cellular connectivity,Always-on display7H screen hardness,,,,https://fdn2.gsmarena.com/vv/bigpic/realme-watch-s2.jpg,1.43 inches,Realme Watch S2,,,No,,Unspecified,,380 mAh,No,,,,No,No,,,,No,Scratch-resistant glass,"Email, IM",46.5 x 46.5 x 11 mm (1.83 x 1.83 x 0.43 in),,,No,,,Yes,Yes,No,,41 g (1.45 oz),No,,,No,,,Realme,,,,"Gray, Silver","AMOLED, 600 nits (typ)",,N/A,,,"Accelerometer, heart rate, SpO2"
"IP54, dust and splash resistantDie-cast aluminum chassis","5 MP, (wide)","Android 14, Realme UI 5.0",Yes,,Unisoc Tiger T612 (12 nm),,"Available. Released 2024, August 06",,,,,,,,,,,Unspecified,10W wired,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,"₹ 7,440","₹ 7,440",,,"32 MP, f/1.8, (wide), PDAFAuxiliary lens",GSM 850 / 900 / 1800 / 1900,"720 x 1600 pixels, 20:9 ratio (~260 ppi density)",,"2024, July 29",GSM / HSPA / LTE,,,Mali-G57,,https://fdn2.gsmarena.com/vv/bigpic/realme-narzo-n61.jpg,"6.74 inches, 109.7 cm2(~85.5% screen-to-body ratio)",Realme Narzo N61,,,,,"GPS, GALILEO, GLONASS, BDS","₹ 8,499",5000 mAh,,"LED flash, panorama",Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,,,,microSDXC (dedicated slot),Reinforced glass,,167.3 x 76.7 x 7.8 mm (6.59 x 3.02 x 0.31 in),,"64GB 4GB RAM, 128GB 6GB RAM",USB Type-C 2.0,,,Yes,"5.0, A2DP, LE",,,187 g (6.60 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",1080p@30fps,"HSPA, LTE",No,"Glass front, plastic frame, plastic back",,Realme,,,,"Voyage Blue, Marble Black","IPS LCD, 90Hz, 450 nits (typ), 560 nits (HBM)",,HSDPA 850 / 900 / 2100,Yes,,"Fingerprint (side-mounted), accelerometer, proximity, compass"
"IP54, dust and splash resistant","5 MP, f/2.2, 27mm (wide), 1/5.0"", 1.12µm","Android 14, Realme UI",Yes,,Unisoc Tiger T612 (12 nm),,"Available. Released 2024, July 25",,,,,,,,,,,Unspecified,15W wired,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,,€ 129.99 / $ 98.25,,,"50 MP, f/1.8, (wide), 1/2.5"", PDAF0.08 MP, f/3.0 ,(auxiliary lens)",GSM 850 / 900 / 1800 / 1900,"720 x 1600 pixels, 20:9 ratio (~260 ppi density)",,"2024, July",GSM / HSPA / LTE,,,Mali-G57,,https://fdn2.gsmarena.com/vv/bigpic/realme-c61-int.jpg,"6.74 inches, 109.7 cm2(~85.5% screen-to-body ratio)",Realme C61,€ 129.99,,,,"GPS, GALILEO, GLONASS, BDS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,,,,microSDXC (dedicated slot),,,167.3 x 76.7 x 7.8 mm (6.59 x 3.02 x 0.31 in),,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM",USB Type-C,RMX3939,,Yes,"5.0, A2DP, LE",,,188 g (6.63 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",1080p@30fps,"HSPA, LTE",No,"Glass front, plastic frame, plastic back",,Realme,,,,"Sparkle Gold, Dark Green","IPS LCD, 90Hz, 450 nits (typ), 560 nits (HBM)",,HSDPA 850 / 900 / 2100,720p@30fps,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass"
CDMA 800,,"Android 14, Realme UI 5.0",No,,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),,"Available. Released 2024, July 09",Panorama,,1483 nits max brightness (measured),,,,,,,,No,"120W wired, 50% in 12 min","1, 3, 5, 7, 8, 20, 28, 34, 38, 39, 40, 41",,,,,UFS 4.0,"50 MP, f/1.9, 24mm (wide), 1/1.56"", PDAF, OIS8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm","16 MP, f/2.5, (wide), 1/3.1""",GSM 850 / 900 / 1800 / 1900,1264 x 2780 pixels (~450 ppi density),,"2024, July 09",GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,CDMA2000 1x,,Adreno 750,,https://fdn2.gsmarena.com/vv/bigpic/realme-gt6-cn.jpg,"6.78 inches, 111.7 cm2(~90.6% screen-to-body ratio)",Realme GT6 (China),,,,"1, 3, 5, 8, 28, 41, 77, 78 SA/NSA","GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5), GLONASS (G1)",,5800 mAh,,"Color spectrum sensor, Dual-LED flash, HDR, panorama",Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),,IP65 dust and water resistant,Nano-SIM + Nano-SIM,,Yes,,No,Crystal Armor glass,,162 x 76.1 x 8.4 mm (6.38 x 3.00 x 0.33 in),,"256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",USB Type-C 2.0,,,"Yes, with stereo speakers","5.4, A2DP, LE, aptX HD, LHDC",,,207 g (7.30 oz),"Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band","4K@30/60fps, 1080p@30/60/120fps","HSPA, LTE, 5G",Yes,"Glass front, aluminum frame",,Realme,,,,"Moon, White, Purple","LTPO AMOLED, 1B colors, 120Hz, HDR, 1600 nits (HBM), 6000 nits (peak)",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"4K@30fps, 1080p@30fps",24-bit/192kHz Hi-Res audio,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
"IP54, dust and splash resistant","5 MP, (wide)","Android 14, Realme UI 5.0",Yes,,Unisoc Tiger T612 (12 nm),,"Available. Released 2024, July 02",,,,,,,,,,,Unspecified,10W wired,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,"₹ 7,288","₹ 7,288",,,"32 MP, f/1.8, (wide), PDAFAuxiliary lens",GSM 850 / 900 / 1800 / 1900,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,"2024, June 28",GSM / HSPA / LTE,eMMC 5.1,,Mali-G57,,https://fdn2.gsmarena.com/vv/bigpic/realme-c61.jpg,"6.78 inches, 102.1 cm2(~79.6% screen-to-body ratio)",Realme C61 (India),,,,,"GPS, GALILEO, GLONASS, BDS","₹ 8,150",5000 mAh,,"LED flash, panorama",Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,,,,microSDXC (dedicated slot),,,167.3 x 76.7 x 7.8 mm (6.59 x 3.02 x 0.31 in),,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",USB Type-C 2.0,RMX3939,,Yes,"5.0, A2DP, LE",,,187 g (6.60 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",1080p@30fps,"HSPA, LTE",No,,,Realme,,,,"Safari Green, Marble Black","IPS LCD, 90Hz, 450 nits (typ), 560 nits (HBM)",,HSDPA 850 / 900 / 2100,Yes,,"Fingerprint (side-mounted), accelerometer, proximity, compass"
"IP54, dust and splash resistant",,"Android 14, Realme UI 5.0",Yes,,Qualcomm SM6225 Snapdragon 685 (6 nm),,"Available. Released 2024, July 01",,,,,,,,,,,Unspecified,"67W wired, 50% in 19 min","1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,,About 200 EUR,,"50 MP, f/1.9, 26mm (wide), 1/1.95"", PDAF, OIS2 MP, f/2.4, (depth)","16 MP, f/2.5, (wide)",GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,"2024, June 26",GSM / HSPA / LTE,24-bit/192kHz Hi-Res audio,,Adreno 610,,https://fdn2.gsmarena.com/vv/bigpic/realme-12-4g.jpg,"6.67 inches, 107.4 cm2(~87.3% screen-to-body ratio)",Realme 12 4G,,,,,"GPS, GALILEO, GLONASS, QZSS, BDS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (4x2.8 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),,,Nano-SIM + Nano-SIM,,,,microSDXC (uses shared SIM slot),,,163 x 75.5 x 7.9 mm (6.42 x 2.97 x 0.31 in),,"128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM",USB Type-C 2.0,,,"Yes, with dual speakers","5.0, A2DP, LE",,,187 g (6.60 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band","1080p@30fps, gyro-EIS","HSPA, LTE","Yes, 360˚",,,Realme,,,,"Skyline Silver, Pioneer Green","AMOLED, 120Hz, 600 nits (typ), 2000 nits (peak)",,HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
"IP64, dust and splash resistant","8 MP, f/2.0, 25mm (wide), 1/4.0"", 1.12µm","Android 14, Realme UI 5.0",Yes,,Mediatek Dimensity 6300 (6 nm),,"Available. Released 2024, July 05",,,,,,,,,,,No,15W wired,LTE,,,,About 160 EUR,,,"32 MP, f/1.9, 27mm (wide), 1/3.1"", 0.7µm, PDAFAuxiliary lens",GSM 850 / 900 / 1800 / 1900,"720 x 1604 pixels, 20:9 ratio (~264 ppi density)",,"2024, June 22",GSM / HSPA / LTE / 5G,UFS 2.2,,Mali-G57 MC2,,https://fdn2.gsmarena.com/vv/bigpic/realme-v60.jpg,"6.67 inches, 107.2 cm2(~85.1% screen-to-body ratio)",Realme V60,,,,SA/NSA,"GPS, GALILEO, GLONASS, QZSS, BDS",,Li-Po 5000 mAh,,"LED flash, panorama",Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,,,,microSDXC (uses shared SIM slot),,,165.6 x 76.1 x 7.9 mm (6.52 x 3.00 x 0.31 in),,"128GB 6GB RAM, 256GB 8GB RAM",USB Type-C 2.0,,,Yes,"5.3, A2DP, LE",,,192 g (6.77 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",1080p@30fps,"HSPA, LTE, 5G",No,,,Realme,,,,"Gold, Green","IPS LCD, 120Hz, 500 nits (typ), 625 nits (HBM)",,HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass"
