Features,CPU,,4G bands,Single_1,Stand-by,Alert types,OS,Loudspeaker,Bluetooth,Games,SAR EU,Stand-by_1,_2,Price,_3,3.5mm jack,Keyboard,SIM,Dual,Single,Weight,Chipset,Call records,Status,WLAN,Infrared port,Talk time_1,2G bands,Features_1,Browser,Resolution,Talk time,Card slot,Languages,Alarm,Speed,NFC,Build,Announced,Video_1,Technology,_1,SAR,Clock,Brand,Protection,GPU,Model Image,Size,Model Name,Music play,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Charging,Models,Video,Type_1,_4,Sensors,Java
,,GSM 900 / 1800 - SIM 2,,,Up to 850 h,,,Yes,No,No,,,No,,MP3/AAC+ playerOrganizerVoice memoPredictive text input,No,,Dual SIM (Mini-SIM),,,76 g (2.68 oz),,Yes,Discontinued,No,,,GSM 900 / 1800 - SIM 1,,WAP 2.0,176 x 220 pixels (~141 ppi density),Up to 8 h,microSDHC (dedicated slot),,,,,,"2011, May. Released 2011, May",,GSM,Flashlight,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-xenium-x128.jpg,"2.0 inches, 12.6 cm2(~26.7% screen-to-body ratio)",Philips X128,,"SMS, MMS, Email",Black,"TFT, 256K colors",Yes,Class 10,109.5 x 43 x 15 mm (4.31 x 1.69 x 0.59 in),,No,No,No,FM radio,,,,,Removable Li-Ion 1050 mAh battery,,,No
,,CDMA 800,,,Up to 130 h,,,Yes,"2.1, A2DP",Yes,,,No,,MP3/AAC+ playerMP4/H.263 playerOrganizerVoice memoPredictive text input,No,,Dual SIM (Mini-SIM),,2 MP,105 g (3.70 oz),,Yes,Discontinued,No,,,GSM 900 / 1800,,WAP 2.0/xHTML,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 3 h 40 min,microSDHC (dedicated slot),,,EV-DO Rev. 0,,,"2011, April. Released 2011, April",,GSM / CDMA / EVDO,Handwriting recognition,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-d612.jpg,"2.4 inches, 17.8 cm2(~31.3% screen-to-body ratio)",Philips D612,,"SMS, MMS, Email, IM",Black,"TFT resistive touchscreen, 65K colors","Yes, Photocall",,114 x 50 x 14.2 mm (4.49 x 1.97 x 0.56 in),120MB,miniUSB 2.0,,"GPS, A-GPS",No,CDMA2000 1xEV-DO,,,320p@15fps,Removable Li-Ion 1200 mAh battery,,,No
,,GSM 850 / 900 / 1800 / 1900 - SIM 2,,,Up to 1200 h,,,Yes,"2.1, A2DP",Yes,,,MP3/AAC+/WMA/WAV playerMP4/H.264 playerOrganizerVoice memoPredictive text input,,,Yes,,Dual SIM (Mini-SIM),,3.15 MP,116.8 g (4.09 oz),,Yes,Discontinued,No,,,GSM 850 / 900 / 1800 / 1900 - SIM 1,,"WAP 2.0/xHTML, HTML","240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 16 h,microSDHC (dedicated slot),,,,,,"2011, April. Released 2011, Q2",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-xenium-X523.jpg,"2.4 inches, 17.8 cm2(~29.8% screen-to-body ratio)",Philips Xenium X523,,"SMS, MMS, Email",Red/Black,"TFT, 256K colors","Yes, Photocall",Class 12,117.5 x 51 x 15 mm (4.63 x 2.01 x 0.59 in),78MB,miniUSB 2.0,Yes,No,FM radio,,,,QCIF@15fps,Removable Li-Ion 2000 mAh battery,,,"Yes, MIDP 2.0"
LED flash,,GSM 900 / 1800 / 1900 - SIM 2,,,Up to 960 h,,,Yes,"2.0, A2DP",Yes,,,No,About 270 EUR,MP3/AAC+/WAV playerMP4/H.263 playerOrganizerVoice memoPredictive text input,Yes,,Dual SIM (Mini-SIM),,2 MP,103 g (3.63 oz),,Yes,Discontinued,No,,,GSM 900 / 1800 / 1900 - SIM 1,,WAP 2.0/xHTML,"240 x 320 pixels, 4:3 ratio (~154 ppi density)",Up to 12 h,microSDHC (dedicated slot),,,,,,"2011, February. Released 2011, March",,GSM,Handwriting recognition,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-xenium-x516.jpg,"2.6 inches, 20.9 cm2(~39.5% screen-to-body ratio)",Philips X516,,"SMS, MMS, Email, IM",Black,"TFT resistive touchscreen, 256K colors","Yes, Photocall",Yes,102 x 52 x 16.9 mm (4.02 x 2.05 x 0.67 in),3MB,miniUSB 2.0,No,No,"Stereo FM radio, RDS",,,,320p,Removable Li-Ion 1530 mAh battery,,,"Yes, MIDP 2.0"
,,"External display, 128x36 pixels",,,Up to 700 h,,,Yes,Yes,Yes,,,MP3/WAV/AAC+ playerMP4/H.263 playerOrganizerVoice memoPredictive text input,,,No,,Mini-SIM,,3.15 MP,102.3 g (3.60 oz),,Yes,Discontinued,No,,,GSM 900 / 1800 / 1900,,"WAP 2.0/xHTML, HTML","240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 8 h,microSDHC (dedicated slot),,,,,,"2011, February. Released 2011, Q2",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-xenium-f515.jpg,"2.4 inches, 17.8 cm2(~36.3% screen-to-body ratio)",Philips F515,,"SMS, MMS, Email",Violet,"TFT, 256K colors","Yes, Photocall",Class 12,98.2 x 50.1 x 18.2 mm (3.87 x 1.97 x 0.72 in),50MB,miniUSB 2.0,No,No,"Stereo FM radio, RDS",,,,320p@15fps,Removable Li-Ion 920 mAh battery,,,"Yes, MIDP 2.0"
LED flash,,GSM 900 / 1800 / 1900 - SIM 2,,,Up to 720 h,,,Yes,"2.0, A2DP, EDR",Yes + downloadable,,,No,About 350 EUR,MP3/AAC+/WAV playerMP4/H.263 playerOrganizerVoice memoPredictive text input,Yes,,Dual SIM (Mini-SIM),,"5 MP, AF",139 g (4.90 oz),,Yes,Discontinued,No,,,GSM 900 / 1800 / 1900 - SIM 1,,WAP 2.0/xHTML,"240 x 400 pixels, 5:3 ratio (~146 ppi density)",Up to 12 h,microSDHC (dedicated slot),,,,,,"2011, February. Released 2011, March",,GSM,Handwriting recognition,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x815.jpg,"3.2 inches, 29.1 cm2(~46.3% screen-to-body ratio)",Philips X815,,"SMS, MMS, Email, IM",Black,"TFT resistive touchscreen, 256K colors","Yes, Photocall",Yes,113.3 x 55.6 x 14.6 mm (4.46 x 2.19 x 0.57 in),47MB,miniUSB 2.0,Yes,"GPS, A-GPS",FM radio,,,,480p@15fps,Removable Li-Ion 1530 mAh battery,,Accelerometer,"Yes, MIDP 2.0"
LED flash,,GSM 900 / 1800 / 1900 - SIM 2,,,Up to 1000 h,,,Yes,"2.0, A2DP",Yes + downloadable,,,No,,MP3/AAC+/WAV playerMP4/H.263 playerOrganizerVoice memoPredictive text input,No,,Dual SIM (Mini-SIM),,2 MP,108 g (3.81 oz),,Yes,Discontinued,No,Yes,,GSM 900 / 1800 / 1900 - SIM 1,,WAP 2.0/xHTML,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Up to 12 h,microSDHC (dedicated slot),,,,,,"2011, February. Released 2011, March",,GSM,Handwriting recognition,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x518.jpg,"2.8 inches, 24.3 cm2(~41.0% screen-to-body ratio)",Philips X518,,"SMS, MMS, Email, IM",Black,"TFT resistive touchscreen, 256K colors","Yes, Photocall",Class 12,104 x 57 x 14.3 mm (4.09 x 2.24 x 0.56 in),1MB,miniUSB 2.0,No,No,"Stereo FM radio, RDS",,,,CIF@15fps,Removable Li-Ion 1530 mAh battery,,,"Yes, MIDP 2.0"
,,CDMA 800,,,Up to 100 h,,,Yes,"2.1, A2DP",Yes,,,No,,MP3/AAC+ playerMP4/H.263 playerOrganizerVoice memoPredictive text input,No,,Mini-SIM,,"3.15 MP, AF",125 g (4.41 oz),,Yes,Discontinued,No,,,GSM 900 / 1800,,WAP 2.0/xHTML,"240 x 400 pixels, 5:3 ratio (~146 ppi density)",Up to 3 h 10 min,"microSDHC (dedicated slot), 2 GB included",,,EV-DO Rev. 0,,,"2011, February. Released 2011, February",,GSM / CDMA / EVDO,Handwriting recognition,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-d812.jpg,"3.2 inches, 29.1 cm2(~48.2% screen-to-body ratio)",Philips D812,,"SMS, MMS, Email, IM",Black,"TFT resistive touchscreen, 65K colors","Yes, Photocall",,109.6 x 55.2 x 14 mm (4.31 x 2.17 x 0.55 in),130MB,microUSB 2.0,,"GPS, A-GPS",No,CDMA2000 1xEV-DO,,,Yes,Removable Li-Ion 1100 mAh battery,,Accelerometer,No
,,GSM 900 / 1800 / 1900 - SIM 2,,,Up to 800 h,,,Yes,No,Yes,,,No,,MP3/WAV/AAC+ playerOrganizerVoice memoPredictive text input,Yes,,Dual SIM (Mini-SIM),,,-,,Yes,Discontinued,No,,,GSM 900 / 1800 / 1900 - SIM 1,,WAP 2.0,128 x 160 pixels (~114 ppi density),Up to 7 h 30 min,microSD (dedicated slot),,,,,,"2011, February. Released 2011, February",,GSM,Flashlight,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-h216.jpg,"1.8 inches, 10.2 cm2",Philips X216,,SMS,Black,"TFT, 65K colors",Yes,Class 12,-,,miniUSB 2.0,No,No,FM radio,,,,,Removable Li-Ion 1050 mAh battery,,,No
LED flash,,GSM 900 / 1800 / 1900 - SIM 2,,,Up to 720 h,,,Yes,"2.1, A2DP",Yes + downloadable,,,No,About 280 EUR,MP3/WAV/AAC playerMP4/H.263 playerOrganizerVoice memoPredictive text input,Yes,,Dual SIM (Mini-SIM),,"3.15 MP, AF",126.5 g (4.44 oz),,Yes,Discontinued,No,,,GSM 900 / 1800 / 1900 - SIM 1,,WAP 2.0/xHTML,"240 x 400 pixels, 5:3 ratio (~146 ppi density)",Up to 12 h,microSDHC (dedicated slot),,,,,,"2011, January. Released 2011, March",,GSM,Optical trackpad,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-xenium-x713.jpg,"3.2 inches, 29.1 cm2(~46.9% screen-to-body ratio)",Philips Xenium X713,,"SMS(threaded view), MMS, Email",Brown,"TFT resistive touchscreen, 256K colors","1000 entries, Photocall",Class 12,113.3 x 54.8 x 14.5 mm (4.46 x 2.16 x 0.57 in),47MB,miniUSB 2.0,Yes,"GPS, A-GPS",Stereo FM radio,,,,320p@30fps,Removable Li-Ion 1530 mAh battery,,,"Yes, MIDP 2.0"
LED flash,,GSM 900 / 1800 / 1900 - SIM 2,,,Up to 720 h,,Microsoft Windows Mobile 6.5 Professional,Yes,"2.1, A2DP",,,,No,,MP3/WAV/AAC+ playerMP4/H.264 playerOrganizerVoice memoPredictive text input,Yes,,Dual SIM (Mini-SIM),,"5 MP, AF",141 g (4.97 oz),,,Discontinued,Wi-Fi 802.11 b/g,,,GSM 900 / 1800 / 1900 - SIM 1,,HTML,"480 x 800 pixels, 5:3 ratio (~292 ppi density)",Up to 16 h,microSDHC (dedicated slot),,,,,,"2011, January. Released 2011, Q2",,GSM,Trackball,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-v816.jpg,"3.2 inches, 29.1 cm2(~47.7% screen-to-body ratio)",Philips V816,,,Black,"TFT, 256K colors",,Class 12,111 x 55 x 13.9 mm (4.37 x 2.17 x 0.55 in),180MB,miniUSB 2.0,Yes,"GPS, A-GPS",No,,,,480p@30fps,Removable Li-Ion 1530 mAh battery,,,
,,CMMB Mobile TVMP3/WAV/AAC+ playerMP4/H.264 playerOrganizerVoice memoPredictive text input,,Yes,Up to 420 h,,Android-based OPhone 2.0,Yes,"2.1, A2DP",,,,,,,Yes,,Mini-SIM,,"5 MP, AF",141 g (4.97 oz),,,Discontinued,Wi-Fi 802.11 b/g,,,GSM 900 / 1800 / 1900,,HTML,"360 x 640 pixels, 16:9 ratio (~210 ppi density)",Up to 8 h,microSDHC (dedicated slot),,,TD-SCDMA,,,"2011, January. Released 2011, Q2",,GSM,,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-t910.jpg,"3.5 inches, 33.8 cm2(~47.1% screen-to-body ratio)",Philips T910,,,White,"TFT resistive touchscreen, 256K colors",,Class 12,115 x 62.4 x 14.4 mm (4.53 x 2.46 x 0.57 in),180MB,miniUSB 2.0,Yes,"GPS, A-GPS",No,TD-SCDMA,,,320p,Removable Li-Ion 1530 mAh battery,,,
,,GSM 900 / 1800 - SIM 2,,,Up to 850 h,,,Yes,"2.0, A2DP",Yes,,,No,,MP3/AAC+ playerOrganizerVoice memoPredictive text input,No,,Dual SIM (Mini-SIM),,VGA,79.5 g (2.79 oz),,Yes,Discontinued,No,,,GSM 900 / 1800 - SIM 1,,WAP 2.0,176 x 220 pixels (~141 ppi density),Up to 8 h,microSDHC (dedicated slot),,,,,,"2010, December. Released 2010, December",,GSM,Flashlight,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-xenium-x116.jpg,"2.0 inches, 12.6 cm2(~24.9% screen-to-body ratio)",Philips X116,,"SMS, MMS, Email",Gray,"TFT, 65K colors",Yes,Class 12,108.3 x 46.7 x 13.2 mm (4.26 x 1.84 x 0.52 in),,miniUSB 2.0,No,No,FM radio,,,,No,Removable Li-Ion 1050 mAh battery,,,No
LED flash,,No,,,,,,Yes,"2.0, A2DP",Yes + downloadable,,,,,,Yes,,Mini-SIM,,"5 MP, AF",138 g (4.87 oz),,Yes,Discontinued,No,,,GSM 900 / 1800 / 1900,,"WAP 2.0/xHTML, HTML","240 x 320 pixels, 4:3 ratio (~154 ppi density)",,microSDHC (dedicated slot),,,,,,"2010, November. Released 2010, November",,GSM,MP3/AAC+/WMA/WAV playerMP4/H.264 playerOrganizerVoice memoPredictive text input,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-f718.jpg,"2.6 inches, 20.9 cm2(~41.9% screen-to-body ratio)",Philips F718,,"SMS, MMS, Email",Gray,"TFT resistive touchscreen, 256K colors",Yes,Class 12,99.9 x 50 x 11.9 mm (3.93 x 1.97 x 0.47 in),45MB,miniUSB 2.0,No,No,"Stereo FM radio, RDS",,,,480p@30fps,Removable Li-Ion 800 mAh battery,,,"Yes, MIDP 2.0"
LED flash,,GSM 900 / 1800 / 1900 - SIM 2,,,Up to 1440 h,,,Yes,"2.0, A2DP",Yes + downloadable,,,MP3/AAC+/WMA/WAV playerMP4/H.264 playerOrganizerVoice memoPredictive text input,,,Yes,,Dual SIM (Mini-SIM),,2 MP,131.2 g (4.62 oz),,Yes,Discontinued,No,,,GSM 900 / 1800 / 1900 - SIM 1,,"WAP 2.0/xHTML, HTML","240 x 320 pixels, 4:3 ratio (~182 ppi density)",Up to 20 h,microSDHC (dedicated slot),,,,,,"2010, November. Released 2010, November",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-xenium-X513.jpg,"2.2 inches, 15.0 cm2(~28.1% screen-to-body ratio)",Philips Xenium X513,,"SMS, MMS, Email",Gray,"TFT, 256K colors",Yes,Class 12,112 x 47.6 x 15.6 mm (4.41 x 1.87 x 0.61 in),5MB,miniUSB 2.0,No,No,Stereo FM radio,,,,CIF@15fps,Removable Li-Ion 2000 mAh battery,,,"Yes, MIDP 2.0"
LED flash,,GSM 900 / 1800 / 1900 - SIM 2,,,Up to 600 h,,,Yes,"2.1, A2DP",Yes + downloadable,,,MP3/WAV/eAAC+/WMA playerMP4/H.263 playerOrganizerChinese/English dictionaryVoice memoPredictive text input,,,Yes,,Dual SIM (Mini-SIM),,3.15 MP,97.7 g (3.42 oz),,Yes,Discontinued,No,,,GSM 900 / 1800 / 1900 - SIM 1,,HTML,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 10 h,microSDHC (dedicated slot),,,,,,"2010, October. Released 2010, October",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/Philips-Xenium-F511.jpg,"2.4 inches, 17.8 cm2(~32.1% screen-to-body ratio)",Philips Xenium F511,,"SMS, MMS, Email","Black, White","TFT, 256K colors","1000 entries, Photocall",Class 12,112.9 x 49.2 x 12.8 mm (4.44 x 1.94 x 0.50 in),70MB,miniUSB 2.0,Yes,No,"Stereo FM radio, RDS",,,,QCIF@15fps,Removable Li-Ion 1000 mAh battery,,,"Yes, MIDP 2.0"
,,Handwriting recognition,,,,,Microsoft Windows Mobile OS,Yes,"2.1, A2DP",,,,MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerOrganizerOrganizerVoice memoPredictive text input,,,No,,Mini-SIM,,2 MP,147.8 g (5.19 oz),,,Discontinued,Wi-Fi 802.11 b/g,,,CDMA 800 / 1900,,"WAP 2.0/xHTML, HTML","240 x 320 pixels, 4:3 ratio (~143 ppi density)",,microSD (dedicated slot),,,CDMA,,,"2010. Released 2010, Q3",,CDMA / EVDO,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-d900.jpg,"2.8 inches, 24.3 cm2(~39.7% screen-to-body ratio)",Philips D900,,,Black,"TFT resistive touchscreen, 65K colors",,,101.2 x 60.5 x 15 mm (3.98 x 2.38 x 0.59 in),,miniUSB 1.1,,"GPS, A-GPS",No,CDMA2000 1xEV-DO,,,352x288,Removable Li-Ion battery,,,
LED flash,,No,,,Up to 700 h,,,Yes,"2.0, A2DP",Yes,,,,,,No,,"Dual SIM (Mini-SIM, no dual stand-by)",,2 MP,105 g (3.70 oz),,Yes,Discontinued,No,,,GSM 900 / 1800,,"WAP 2.0/xHTML, HTML","240 x 320 pixels, 4:3 ratio (~154 ppi density)",Up to 6 h,microSDHC (dedicated slot),,,,,,"2010, July. Released 2010, July",,GSM,MP3/WAV/AAC+ playerMP4/H.263 playerOrganizerVoice memoPredictive text input,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-f610.jpg,"2.6 inches, 20.9 cm2(~39.9% screen-to-body ratio)",Philips F610,,"SMS, MMS, Email",Black,"TFT, 256K colors","Yes, Photocall",Class 12,105 x 50 x 16.3 mm (4.13 x 1.97 x 0.64 in),30MB,miniUSB 2.0,Yes,No,"Stereo FM radio, RDS",,,,320p@15fps,Removable Li-Ion 1000 mAh battery,,,"Yes, MIDP 2.0"
LED flash,,External display,,,Up to 744 h,,,Yes,"2.0, A2DP",Yes,,,MP3/WAV/AAC+ playerMP4/H.263 playerOrganizerVoice memoPredictive text input,,,Yes,,"Dual SIM (Mini-SIM, dual stand-by)",,"5 MP, AF",138 g (4.87 oz),,Yes,Discontinued,No,,,GSM 900 / 1800 / 1900,,"WAP 2.0/xHTML, HTML","240 x 400 pixels, 5:3 ratio (~167 ppi density)",Up to 8 h,microSDHC (dedicated slot),,,,,,"2010, July. Released 2010, July",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x712.jpg,"2.8 inches, 22.3 cm2(~41.0% screen-to-body ratio)",Philips X712,,"SMS, MMS, Email","Black, White, Brown","AMOLED, 56K colors","Yes, Photocall",Class 12,105.8 x 51.5 x 16.7 mm (4.17 x 2.03 x 0.66 in),30MB,miniUSB 2.0,Yes,No,"Stereo FM radio, RDS",,,,480p@30fps,Removable Li-Ion 1050 mAh battery,,Fingerprint (front-mounted),"Yes, MIDP 2.0"
,,No,,,Up to 744 h,,,Yes,"2.0, A2DP",Yes,,,,,,Yes,,Mini-SIM,,"3.15 MP, AF",93.5 g (3.28 oz),,Yes,Discontinued,No,,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"240 x 400 pixels, 5:3 ratio (~155 ppi density)",Up to 8 h 30 min,microSDHC (dedicated slot),,,,,,"2010, May. Released 2010, May",,GSM,MP3/WAV/WMA/FLAC/eAAC+ playerMP4/FLV/DivX/H.264 playerOrganizerVoice memoPredictive text input,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x703.jpg,"3.0 inches, 25.6 cm2(~48.8% screen-to-body ratio)",Philips X703,,"SMS(threaded view), MMS, Email",Gray,"TFT resistive touchscreen, 256K colors","1000 entries, Photocall",Class 12,102 x 51.5 x 13 mm (4.02 x 2.03 x 0.51 in),48MB,miniUSB 2.0,Yes,No,"Stereo FM radio, RDS",,,,QCIF@15fps,Removable Li-Ion battery,,,"Yes, MIDP 2.0"
LED flash,,GSM 900 / 1800 / 1900 - SIM 2,,,Up to 400 h,,,Yes,"2.0, A2DP",Yes + downloadable,,,MP3/WAV/AAC playerMP4/H.263 playerOrganizerVoice memoPredictive text input,,,No,,Dual SIM (Mini-SIM),,"5 MP, AF",128 g (4.52 oz),,Yes,Discontinued,No,,,GSM 900 / 1800 / 1900 - SIM 1,,WAP 2.0/xHTML,"240 x 400 pixels, 5:3 ratio (~155 ppi density)",Up to 8 h,microSDHC (dedicated slot),,,,,,"2010, May. Released 2010, May",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x809-ofic.jpg,"3.0 inches, 25.6 cm2(~45.6% screen-to-body ratio)",Philips X809,,"SMS(threaded view), MMS, Email",Black,"TFT resistive touchscreen, 256K colors","1000 entries, Photocall",Class 12,104.5 x 53.8 x 16.3 mm (4.11 x 2.12 x 0.64 in),70MB,miniUSB 2.0,Yes,No,"Stereo FM radio, RDS",,,,Yes,Removable Li-Ion 1530 mAh battery,,,"Yes, MIDP 2.0"
,,GSM 900 / 1800 / 1900 - SIM 2,,,Up to 600 h,,,Yes,"2.0, A2DP",Yes + downloadable,,,MP3/WAV/aAAC+/WMA playerMP4/H.263 playerOrganizerChinese/English dictionaryVoice memoPredictive text input,,,Yes,,Dual SIM (Mini-SIM),,3.15 MP,92.8 g (3.25 oz),,Yes,Discontinued,No,,,GSM 900 / 1800 / 1900 - SIM 1,,HTML,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 8 h,microSDHC (dedicated slot),,,,,,"2010, May. Released 2010, May",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x503.jpg,"2.4 inches, 17.8 cm2(~31.5% screen-to-body ratio)",Philips Xenium X503,,"SMS, MMS, Email",Black,"TFT, 256K colors","1000 entries, Photocall",Class 10,114.5 x 49.5 x 11 mm (4.51 x 1.95 x 0.43 in),78MB,miniUSB 2.0,Yes,No,"Stereo FM radio, RDS",,,,QCIF@15fps,Removable Li-Ion 1000 mAh battery,,,"Yes, MIDP 2.0"
,,Handwriting recognition,,,Up to 744 h,,,Yes,"2.0, A2DP",Yes,,,MP3/WAV/AAC+/WMA playerMP4/H.263 playerOrganizerDocument viewerVoice memoPredictive text input,,,Yes,,Mini-SIM,,"3.2 MP, AF",119 g (4.20 oz),,Yes,Discontinued,No,,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"240 x 400 pixels, 5:3 ratio (~167 ppi density)",Up to 8 h 30 min,microSDHC (dedicated slot),,,,,,"2010, April. Released 2010, May",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-k600-ofic.jpg,"2.8 inches, 22.3 cm2(~41.7% screen-to-body ratio)",Philips Xenium K600,Up to 25 h,"SMS(threaded view), MMS, Email","Silver, Black","TFT resistive touchscreen, 256K colors","1000 entries, Photocall",Class 12,103 x 52 x 14 mm (4.06 x 2.05 x 0.55 in),48MB,miniUSB 2.0,Yes,No,"Stereo FM radio, RDS",,,,QCIF@15fps,Removable Li-Ion 1000 mAh battery,,,"Yes, MIDP 2.0"
LED flash,,External hidden OLED display,,,Up to 744 h,,,Yes,"2.0, A2DP",Yes,,,MP3/WAV/AAC+ playerMP4/H.263 playerOrganizerVoice memoPredictive text input,,,No,,Mini-SIM,,"5 MP, AF",120 g (4.23 oz),,Yes,Discontinued,No,,,GSM 900 / 1800 / 1900,,"WAP 2.0/xHTML, HTML","240 x 400 pixels, 5:3 ratio (~167 ppi density)",Up to 8 h,microSDHC (dedicated slot),,,,,,"2010, April. Released 2010, May",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x606-ofic.jpg,"2.8 inches, 22.3 cm2(~41.9% screen-to-body ratio)",Philips X606,,"SMS, MMS, Email",Pink,"TFT, 256K colors","Yes, Photocall",Class 12,106.5 x 50 x 16.7 mm (4.19 x 1.97 x 0.66 in),45MB,miniUSB 2.0,Yes,No,No,,,,480p@30fps,Removable Li-Ion 1000 mAh battery,,,"Yes, MIDP 2.0"
,,Handwriting recognition,,,Up to 600 h,,,Yes,"2.0, A2DP",Yes + downloadable,,,MP3/WAV/AAC+ playerMP4/H.263 playerOrganizerVoice memoPredictive text input,,,No,,"Dual SIM (Mini-SIM, no dual stand-by)",,2 MP,103 g (3.63 oz),,Yes,Discontinued,No,,,GSM 900 / 1800,,"WAP 2.0/xHTML, HTML","240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 8 h,microSDHC (dedicated slot),,,,,,"2010, April. Released 2010, June",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x510-ofic.jpg,"2.4 inches, 17.8 cm2(~32.5% screen-to-body ratio)",Philips X510,,"SMS(threaded view), MMS, Email",Black,"TFT resistive touchscreen, 256K colors","Yes, Photocall",Class 10,106 x 51.8 x 15.7 mm (4.17 x 2.04 x 0.62 in),1MB,miniUSB 2.0,No,No,"Stereo FM radio, RDS",,,,176x144@15fps,Removable Li-Ion 1050 mAh battery,,,"Yes, MIDP 2.0"
LED flash,,No,,,Up to 720 h,,,Yes,"2.0, A2DP",Yes + downloadable,,,,,,No,,Mini-SIM,,"3.15 MP, AF",120 g (4.23 oz),,Yes,Discontinued,No,,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"240 x 400 pixels, 5:3 ratio (~167 ppi density)",Up to 8 h 30 min,microSDHC (dedicated slot),,,,,,"2010, April. Released 2010, July",,GSM,MP3/WAV/AAC playerMP4/H.263 playerOrganizerVoice memoPredictive text input,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x605.jpg,"2.8 inches, 22.3 cm2(~40.1% screen-to-body ratio)",Philips X605,,"SMS(threaded view), MMS, Email",Black,"TFT resistive touchscreen, 256K colors","1000 entries, Photocall",Class 10,106.5 x 52.3 x 14.7 mm (4.19 x 2.06 x 0.58 in),63MB,miniUSB 1.1,No,No,"Stereo FM radio, RDS",,,,CIF@15fps,Removable Li-Ion 1050 mAh battery,,,"Yes, MIDP 2.0"
,,No,,,Up to 420 h,,Android-based OPhone OS,Yes,"2.0, A2DP",,,,,About 470 EUR,,Yes,,Mini-SIM,,"3.15 MP, AF",153.5 g (5.40 oz),,,Discontinued,Wi-Fi 802.11 b/g,,,GSM 900 / 1800 / 1900,,HTML,"480 x 800 pixels, 5:3 ratio (~267 ppi density)",Up to 7 h,microSDHC (dedicated slot),,,,,,"2010, February. Released 2010, March",,GSM,MP3/WAV/AAC+ playerMP4/H.264 playerOrganizerVoice memoPredictive text input,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-v900.jpg,"3.5 inches, 34.9 cm2(~48.6% screen-to-body ratio)",Philips V900,,,Black,"TFT, 256K colors",,Class 12,115 x 62.4 x 13.2 mm (4.53 x 2.46 x 0.52 in),40MB,miniUSB 2.0,Class 12,"GPS, A-GPS",No,,,,320p,Removable Li-Ion 1450 mAh battery,,,
